komentar,label,label_prediksi
mantap wibuku uda langgan lama bln enak murah kalau anime update yg baru terimakasih,positif,positif
mantapppp cuma udah dapet nonton anime puas bulan penuh mimin ga pelit ga premium nonton lewat ads,positif,positif
good,positif,positif
bagus,positif,positif
coba dulu ah,positif,positif
bagus,positif,positif
bilang bagus sih player gratis benar lebih enak bayar cuma ribu nonton puas,positif,positif
baguass,positif,positif
bang plisss tuduh root pdhl gak root fix in mau nonton langgan guah buang sia sia,negatif,negatif
aplikasi bagus la buat mode tidur,positif,positif
masalah sambung server padahal jaring gada problem mau login susah,negatif,negatif
apk makin update makin banyak bug,positif,negatif
developer apk udh bgus tpi knp update mulu asa pas senin update sekrang update udh tiga kali,positif,negatif
kembang biar kaga bug resah yg oke kurang lengkap animenya siip,positif,positif
apknya udah bagus bikin kesel kadang ga login wibukunya padahal ga update jadi baik,positif,negatif
oke imo wibuku udh bagus sih lumayan lengkap saran banyak lg animenya kayak nana romantic killer ama moriarty the patriot gitu yg gaada sih,positif,positif
bintang,positif,positif
aplikasi cukup bagus,positif,positif
ku bagus sih kalau iklan jangan salahin apk iklan gak premium kalau mau iklan hilang premium,positif,positif
aplikasi udh bagus kurang tambah anime dulu,positif,positif
udah langgan wibuku udah hampir minggu tiba gabisa buka karna bilang device root ubl padahal ga cusrom ubl root gimana,negatif,negatif
aplikasi bagus banget anime lengkap meski beberapa anime kurang premium murah,positif,positif
pake apk playstore ban dah hdeh,negatif,positif
udah bagus ni apk favorit sihh harus download dahhh,positif,positif
servernya masalah oy,negatif,negatif
bagus jir,positif,positif
coba dulu,positif,positif
bagus keren,positif,positif
update aplikasi masak iya gak premium nonton iklan detik cuman kasih energy minimal kasih energy mohon timbang keluh orang belumtidak premium,positif,negatif
perfect,positif,positif
update mulu sih males download,negatif,negatif
aplikasi nonton anime bagus gratis nonton iklan mau beli premium murah,positif,positif
lama nunggu detik biar kunci edit sekarang nunggu detik,negatif,negatif
apknya emg bagus sih lumayan ko asa baru kemaren update,positif,positif
keren,positif,positif
baguss bngt gak kasi tau aplikasi lengkap ini,positif,positif
bagus,positif,positif
aplikasi bagus,positif,positif
mayan aplikasi wibuku buat nonton anime,positif,positif
sih nonton makin lama pakai apk gak buka sih bantu developer,positif,negatif
nice,positif,positif
ni apk jadi gin makin kesini bukan makin bagus malah makin ancur mulai iklan kadang nyampe satu menit trus kadang udah nungguin lama soal malah tiba reconnect padahal sinyal bangus trus ngulang liat iklan hadeh apa,negatif,negatif
sangat keren lengkap,positif,positif
oke bagus,positif,positif
non wibu mending dowload app jamin jadi wibu,positif,positif
bagus banget nyaman,positif,positif
mantap,positif,positif
aplikasi baguss banget sumpah hampir semua anime tuh apk pas nonton lancar banget tpi nonton iklan dlu buat dapet kunci gpp,positif,positif
cukup bagus,positif,positif
kapan pc ni mau nonton pc soal,positif,positif
bagus banget apk tp sayang biasa hrus buka kunci duly,positif,positif
cocok banget,positif,positif
halo knapa aplikasi ga biss buka cmn stak loading scren doang,negatif,negatif
jaring masalah mulu padahal jaring aman aman bugnya baik,negatif,negatif
bagus sekali premium murah,positif,positif
bro,positif,positif
aplikasi nonton anime gratis bagus pilih animenya lengkap update harga premium sangat jangkau sayang scene anime potong baik sekarang waktu tunggu buka kunci tulis detik nyata tunggu detik moga segera baik,positif,positif
ga jelas bet banyak yg error pas riport malah yg block anjj emng iklan lama yg udh buka kunci nonton iklan muak ama apk,negatif,negatif
bang spy family ga up sih yg code white beberapa anime yg ga up padahal udh rilis dh lama bgt rilis,positif,negatif
apk tolol,negatif,negatif
sangat bagus kurang iklan bg klo,positif,positif
suka,positif,positif
mau nonton selalu eror apa dahh,negatif,negatif
kulitas bagus lengkap,positif,positif
tambahin fitur hadiahachievement buat yg dah capai lvl tinggi biar makin seru apknya,positif,positif
bagus saran kasih fitur nextuntuk eps ikut otomatis anime selesai tonton soal kayak yg kurang padahal udah premium,positif,positif
mantapppp bngtt,positif,positif
diwibuku sangat bagus,positif,positif
mantap gak kaya belah,positif,positif
apk bagus gk perlu premium,positif,positif
updatenya telat woy,negatif,positif
apk suka error,negatif,negatif
bagus,positif,positif
ssnagttt muas bagus,positif,positif
sangat bagus,positif,positif
tambahin doraemon,positif,positif
mantap,positif,positif
overall fitur nyaman bagus banget sistem level tarik bgt kasih bintang gegara beberapa anime pakai paling mentok cukup ganggu udah beli premium gada anime anime jaman dlu kayak cowboy bebop serial experiment udah sih,positif,positif
bagus lahh buat nonton,positif,positif
yaa bagus aps,positif,positif
well pokok apk iinii,positif,negatif
buka mentok logo,negatif,negatif
bagus,positif,positif
mantap,positif,positif
update mulu,positif,negatif
apk labil kadang buka susah pdhl sinyal wifi aman trs aneh bsa buka pdhl hp root gaje bngt smph,negatif,negatif
lumayan laaa,positif,positif
update lg utk hp samsung upgrade one ui layar jd makin atas jd translate potong kamera buat kalian yg rating rendah krn iklan kunci ngotak dikit makan kalo gamau ribet beli premium anj ga mahal pdhl,positif,negatif
mentok logogk ngapangapain apk eror data wifi sama ajatidak buka,negatif,negatif
waktu iklan lama kali,negatif,negatif
apa ngebug apknya kek apa padahal baru beres update walaupun udah beberapa kali update kalo gasalah masuk gabisa coba uninstall terus donlod login gabisa baik ngebug kek gin,negatif,negatif
seru buat nobar,positif,positif
good,positif,positif
aplikasi sebener bagus semenjak update malah eror terus,positif,negatif
iklan sekarang menit bagus,negatif,positif
udah bayar malah ga buka this is apk scam,negatif,negatif
bagus kayak bug,positif,positif
update terus beberapa video yg eror,negatif,negatif
kecewa padahal hp bawa deteksi root unlock botloader perban aman sekarang makin ribet wibuku,negatif,negatif
bagus,positif,positif
lengah dikit jujutsu kaisen woylah cikk,negatif,positif
bagus banget,positif,positif
cukup tlg banyakin eps,positif,positif
apk baik,positif,positif
keren bet aplikasi cuma pas mau dapatin kunci buat nonton episode anime saran waktu singkat detik detik,positif,positif
mantap,positif,positif
mantap cuiiii gak kek belah,positif,positif
kagak jelas pas iklan ga mencet iklan tiba tiba langsung masuk playstore terus pas iklan udah selesai malah ga dapet kunci,negatif,negatif
aplikasi udah bagus tambah update update terus terus malah bug dah biarpun bug ga terlalu menggangu sih kan jadi ga membedain mana komen anime tonton anime lain bug maksud bug komen cara kerja bug komen nyasar keanime tepat tonton nonton waktu tepat sama komen menit telah depan baik bug biar lebih bagus apk,positif,positif
aplikasi udh bagus makin lama durasi iklan detik yg detik,negatif,negatif
sip dh,positif,positif
daijobu,positif,positif
banyak bet iklan,positif,negatif
skrng susah buka asik device root dulu gk gtu,negatif,negatif
lengkap banget animenya bagus fiturnya kunci tambahin jangan tiga tiga udah,positif,positif
aplikasi bagus jarang banget kayak gin cuman minus animenya kurang lengkap,positif,positif
adain fitur folow akun,positif,negatif
bagus buat nonton anime,positif,positif
mantap ahhhh,positif,positif
kurang lengkap,positif,positif
gtw mw komen apa,positif,positif
update an baru jelekkkk bgt buka eps lanjut baru tonton bagi awal keluar aplikasi balik aplikasi eps yg tadiii ga tonton pakai kunci,negatif,negatif
lumayan lh,negatif,positif
ngebug kualitas video turun sendiri,negatif,negatif
sering update woy,negatif,negatif
bagus,positif,positif
bagus,positif,positif
buka padahal tadi pagi sekarang enggk terang device root padahal ponsel gk pernah oprek kan aneh,negatif,negatif
keren,positif,positif
mantap,positif,positif
update gak soal buka aplikasi lama sekali walaupun pake paket sama wifi loding abad,negatif,negatif
bagus bgt cuma iklan lama,positif,positif
keren,positif,positif
lumayan,positif,positif
bagus sih lain baru hari update terus iklas tulis detik cuman dtk pas pencet dtk bener,negatif,positif
enak lewat web gratis bebas mau pake adblok bertumpuktumbuk paling bener ambil batchkun,negatif,positif
gbar pecah kyk nge lag,negatif,negatif
bagus banget,positif,positif
keren minn,positif,positif
apk bagus murah kalau mau yg premium,positif,positif
aplikasi bagus iklan banyak jadi ku kasih,positif,positif
bagus mantap,positif,positif
beberapa nama anime yg ubah drastis jir baik,positif,positif
aplikasi bagus banget buat nonton sayang buat rakyat biasa kan nonton iklan detik terkadang malah iklan menit muncul aplikasi baguss bangett,positif,positif
mantap,positif,positif
bagus,positif,positif
plis admin durasi iklan rangin kadang detik udh gitu cuma dapet kunci mending kalo kunci saran kalo mau iklan menit kunci ditambahin jadi,positif,negatif
helo adain ios,positif,negatif
banyak bug udah suka telat uploadnya mending aplikasi belah,negatif,negatif
bagus aplikasi sering update terus iklan lebih durasi tampil,positif,positif
animenya lengkapin,positif,positif
aplikasi hebatt cari recommended baik hd indah tonton gak genre bl,positif,positif
alaahhhh apk mah bagus gk login kadang baca no root mlu suruh pake apk asli olay store padahal download emg play store fix dah kadang gk nonton ampe minggu hapus donlot kalo mau nonton,negatif,negatif
bagusss sukqa,positif,positif
the best,positif,positif
bagus,positif,positif
mantap,positif,positif
aplikasi yg sangat bantu sayang anime yg kayak high school dxd,positif,positif
this application is really good and fun,positif,positif
sangat muas,positif,positif
udah nonton iklan tetap gadapet kunci apk yg ga wor it jangan nonton sini,negatif,negatif
bagus,positif,positif
baguss riwayat nontonnya trs kalo hapus masii tetep dongg riwayat tonton ngga kaya apk belah,positif,positif
bagus sekarang sering banget update,positif,positif
mantop nyoe,positif,positif
nice buat apk nonton anim gratis cuman hrs nunggu iklan nonton anim puas,positif,positif
apk wibuku eror bg tulis device root unlock boat loader guna aplikasi pasti kamu guna aplikasi paly store padahal pake apk ori playstore device vivo ys name akun ayca chann premium sisa hari waktu masalah dekat minggu,positif,negatif
apk gak jelas,negatif,negatif
new update makin banyaklama iklan,positif,negatif
error mulu heran baik jan trima untung doang,negatif,negatif
bagus banget sumpah,positif,positif
makin update gak makin bagus malah dulu iklan detik oke bagus kan karna user free update makain jelek iklan jadi menit,negatif,negatif
mantappppp,positif,positif
apk iki mantep cik iki rekomendasi banget,positif,positif
mantap,positif,positif
baguss,positif,positif
cocok buat orang mau nonton anime ga ribet nahhh sini ajaa,positif,positif
udah baguss beberapa anime yg kurang lengkap,positif,positif
aplikasi baguss walaupun iklan kadang ngeselin sihh,positif,positif
sangat bagus,positif,positif
aplikasi jadi saksi sepi,positif,positif
very good,positif,positif
buka habis update jadi lebih bagus malah eror mulu,negatif,negatif
gelek gelek,negatif,positif
update mulu update kayak gak ubah,negatif,negatif
banyak update sat,positif,negatif
bagus tp kdng ngebug la,positif,positif
banyak pilih anime cuy,positif,positif
mantap gratis,positif,positif
nice,positif,positif
best bgt pokok ni apk buat nonton anime,positif,positif
layar atas hp putih putih,negatif,positif
apk bestt harga prem murah cocok buat ajar,positif,positif
bagus,positif,positif
bagus,positif,positif
bagus banget komentar penting aplikasi bagus,positif,positif
ngebug logo gak masuk aplikasi,negatif,negatif
mantab,positif,positif
huaaaa bagus banget,positif,positif
sangat sangat puas bintang poko tlng iklannnya cuma detik kalo,positif,negatif
developer baik bug soal ganggu,negatif,negatif
lets try offline download is true,positif,negatif
apk yg sangat untung player gratis,positif,positif
beli premium mlh gk duit gk balikin kecewa,positif,positif
keren,positif,positif
mantappp,positif,positif
goodd,positif,positif
update terus,negatif,positif
ga bsa login udh ulang kali uninstall trus pasang hasil ttp sama cmn stak logo wibuku,positif,negatif
sekarang makin banyak anime baru jadi lebih seru,positif,positif
seluruh bagus banget mantap bintang buat admin iklan ku gpp karna apk gratis sekian hehe,positif,positif
pokok bagus mantap,positif,positif
bagus bgt,positif,positif
aplikasi apa banyak gak nyesel download mending gak usah download,negatif,negatif
premium ribu kunci unlimited no iklan,positif,positif
bagus sih gak bug,positif,positif
kj anjir kena ban padahal cuma nonton doang,negatif,negatif
tambah anime baru,positif,positif
nice,positif,positif
knp tiba tiba apk gak buka mohon baik admin bnyk list anime yg blm selesai,negatif,negatif
sangat bagus,positif,positif
aplikasi bagus hp malah bilang bootloader dah suruh pake aplikasi dri playstore pdhl punya asli playstore,negatif,negatif
semua anime dragon ball gt padahal anime legend yg ken tonton,positif,positif
baguss nonton dandadan baik simpan memori mau jalan punya kuotawifi ngga bikin penuh memori,positif,positif
suka bngt sama apk sumpah,positif,positif
jauh bagus kadang kalau gak langgan iklan lama banget anime udah komplit beberapa anime cari gak kalau banyak good lahhh bwt apk nyaa,positif,positif
iklan kasih kunci anime banyak,positif,positif
mantap gak download rugi bang,positif,positif
gacor lek apk,positif,positif
kualitas video layan premium sangat baguuus,positif,positif
info noblesee,positif,positif
update parah indikator batre gak liat,negatif,negatif
karna device ku udah ublroot sulit padahal cuma buat nonton anime udh asa kek aplikasi bank developer ilangin fitur gituan sia premium,negatif,negatif
apk bagus gratis banyak anime,positif,positif
oke,positif,positif
with it walaupun ilegal,positif,positif
bagus aplikasi moga tingkat jumlah animasi,positif,positif
update mulu fitur hapus history kagak,positif,negatif
saran update ikut fokus kan cepat upload video baik jadwal tayang yg gak sesuai hari kasi bintang semangat baik apl,positif,negatif
apk bagus bug jjk defolover baik,positif,positif
apk bagus banget,positif,positif
gak buka sekarang,negatif,negatif
sy kasih retting sy baru tau kalau aplikasi nonton anime ilegal sy lanjur beli premium,negatif,positif
nice,positif,positif
udh download banyak video gak tau cara buka video hasil download jadi banyak memori pakai jadi kasih tau ngelihat video download,positif,negatif
udah bagus fungsi android harap update depan udah open app sih lebih udah oke,positif,positif
bagus bangett cuma kalo nonton video kunci,positif,positif
apk bagus sekarang iklan jadi detik belum detik rang mula,positif,positif
mayan anime baru selalu bagus,positif,positif
premium sangat jangkau saran banyak animenya hehe,positif,positif
mantap,positif,positif
aplikasi bagus,positif,positif
keren abizzzzzzzzz,positif,positif
sangat rekomen,positif,positif
mes promosi judi kalo semua bagus,positif,positif
baguss bett coo,positif,positif
waduh nonton iklan buka kunci detik menit lebih kgk kyk biasa detik gitu,negatif,negatif
aplikasi sangat bagus jadi nonton tokyo revenge ss jangan sering update aplikasi,positif,positif
rekomendasi buat nonton anime,positif,positif
mantap gak pernah ngecewain gak iklan tengah video kualitas video hd gak buruk kaya apk oren biru,positif,positif
bagus terjemah,positif,positif
aplikasi bagus gratis,positif,positif
mantap,positif,positif
hari update mulu,negatif,negatif
kadang eror,positif,positif
seru banget semua aplikasi,positif,positif
anime lengkap kualitas video bagus sekarang kecewa rekomendasi sih buat kalian buat nonton anime,positif,positif
eror mulu,negatif,negatif
dua device menginstal update bug update,positif,positif
haiiiii salam cinta animee rekomendasi ni apk baguss bngettt lengkap ga bikin bingung selalu premium emang murah ituuu gaysss kualitas ga kaleng suka poll,positif,positif
update mulu mana iklan tambah lama,positif,negatif
cukup bagus jos pokok cocok buat mula yg mau nonton,positif,positif
apk sangat bagus rekomen nonton anime sini sayang terlalu lengkap apk lumayan bagus bintang lima,positif,positif
makin lama makin kikir ni liat,negatif,negatif
sangat bagus,positif,positif
admin fans jjk jir,positif,positif
bagus,positif,positif
wah aplikasi sangat bagus tadi nolep introvert suka sendiri sekarang malah sama beda jadi wibu pokok kalian download aplikasi gabut terus jadi beban negara,positif,positif
bagus,positif,positif
sangat recommended btw update baru yg salah tuh buka apknya background putih atas,positif,negatif
banyak banget update,positif,negatif
mantap,positif,positif
okey,negatif,positif
bgus jirr,positif,positif
apknya baguss,positif,positif
bagus sih nonton iklan aplikasi bilang detik detik,positif,positif
adah ngebag kaya elor gitu bagus gratis,positif,positif
mending aplikasi gausah premium nonton semua animeepisode,positif,positif
benerin nonton anime glitch baik udh nyama wibuku masa pindah bilibili sih,positif,positif
bagus,positif,positif
banyak bug,negatif,negatif
iklan orng ko dtik pdhl ga prem,positif,negatif
depolover apa dah sama aplikasi,positif,positif
device root terus padahal hp pernah root,negatif,negatif
aplikasi anime paling seru,positif,positif
okee sie bagus karna mmmeeemmaaabng bbbagggusas,positif,positif
apk apa batas guna gk make device tentu yg hidup susah gk mampu beli hp bagus jadi gk nonton apa,negatif,negatif
mantaap film smoga updte terus,positif,positif
recomended jauh nemuin link yg rusak jadi,positif,positif
very nice,positif,positif
apk indah,positif,positif
sukaaa bgtttt aaaa prem murahhh bangetttt luvv banyak,positif,negatif
ganti ga ganti tulis wajib update jadi update dapet pahala,positif,negatif
aplikasi bagus,positif,positif
mantap sukses selalu mimin,positif,positif
sangat puas apk terimakasih admin wibuku,positif,positif
cinta anime bantu banget makasih wibuku,positif,positif
udah capekcapek tembusin lvl lebih malah turun lvl apk sering force close gk jelas minimal kalau nyediain premium baik server dulu biar gk error mulu buangbuang waktu beli premium,negatif,negatif
bagus banget,positif,positif
banyak update asu,negatif,negatif
bangke blokir download playstore kan download playstore,positif,negatif
maksud gimana udah beli premium pas update baru ngk tonton malah suruh nonton iklan baru pakek hari loh gimna jelaska,negatif,negatif
bagus banyak anime yg tonton tpi makin updeta makin jelek dri segi layar fitur yg lain pokok diperbaikin,positif,positif
oke mantap,positif,positif
bagus,positif,positif
lumayan pertahanin forma,positif,positif
sangat bagus hd banget,positif,positif
bagus,positif,positif
baguuuuuuuuuuus,positif,positif
sorry bro kalau turun bintang alas pasuk aplikasi ingat device root unlock bootloader guna aplikasi pasti kamu guna aplikasi play store padahal belum masuk aplikasi gak pernah guna bootloader segala macam yg curiga selalu mendownload aplikasi lewat play store malah ingat baik,negatif,negatif
josjis,positif,positif
hilang kan bug,positif,negatif
asa gak pernah dapet iklan dapet iklan kunci gak pernah tuh iklan kalau pas nontonya itu udah bagus gak minta apa apa aplikasi premium murah mahal mahal kelas remaja ketik apa iklan pas buka kunci kan woy sadar anime jepang kan jadi kalian harus syukur udah kasih nonton cuma iklan doang itu buat buka kunci lihat tuh aplikasi lain kalau mau premium mahal iklan,positif,negatif
udah balik normal mantab suka aplikasi cepet updatenya klo premium jga murah banget baru beli prem cuma beli biasa yg ribubulan,positif,positif
mantap tampil tarik animenya hampir lengkap paling suka tampil akun nampilin riwayat anime lv,positif,positif
aplikasi baguss ga bug keren banget sihh gaharus premium,negatif,positif
wibuku bagus bug tiba tiba jadi jujutsu kaisen eps,positif,positif
mantabb,positif,positif
aplikasi bagus cuman kalau pas mau masuk sering ngestak benerin padahal pangen bang nonton anime,positif,positif
baguss,positif,positif
bagus lumayan,positif,positif
buatin laptoppc,positif,positif
aplikasi ny bagus kadang eps yg blm selesai eps selanjutny kadang suka gk nyambung sm eps belum overall udh bagus,positif,positif
kece ni apk,positif,positif
mantap layar penuh lgi,positif,positif
baguss masa cuma mau komen nonton iklan,positif,positif
apa bayar,negatif,positif
tahan,positif,positif
gg apk,positif,negatif
bagus,positif,positif
banyak bug tiap episode trs pas masuk aplikasi delay gmn gtu,positif,negatif
ko baru diupdate juni juni update sih yah asa udah diupdate baru kemaren malah minta diupdate,negatif,negatif
ni aplikasi debest banget lahh kerennnn,positif,positif
nice,positif,positif
good,positif,positif
aplikasi lengkap bnget bagus aq kasih reting pokok bgus bnget,positif,positif
ribet baget,negatif,positif
asa wibuku update mulu dah,positif,positif
mantapp dehhh apk nyah,positif,positif
mantap,positif,positif
yg tadi nunggu detik sekarang malah detik,negatif,negatif
aplikasi gak jelas tibatiba gak buka terang device root mending nonton apk belah walaupun update lambat gak kayak gin,negatif,negatif
wibuku animenya lengkap cuma satu sih cara dapetin kunci gimana,positif,positif
bagus banget,positif,positif
bagus bangetttttttt suka wibu,positif,positif
udh lama pake apk soal dulu lebih enak nonton sini makin lama makin ngeselin iklan makin banyakkkk terus update mulu padahal ga ubah yg liat ribet kalau mau nonton gapapa sih soal kan apk gratis and ilegal opini ku yaa,positif,negatif
oke,positif,positif
flmnya animenya keren,positif,positif
gila so far aplikasi nonton anime baik tau sih mungkin lebih bagus aplikasi biru lebih lengkap animenya premium murah mantap cuman saran ku premium lebih untung kaya kalau premium kirim sticker buat adminnya skip intro sama next episod otomatis overall bagus sih,positif,positif
kadang ngebug video yg ga skip,positif,positif
bagus bangett banyak bug kadang stuck logo gk buka,negatif,positif
ko tiba ga buka sih keluar keluar padahal tadi nonton,positif,negatif
bener anj iklan sampe detik semenjak update gelo emmg,negatif,negatif
mantap,positif,positif
sumpa bagus banget nunggu detik seru cari teman wibu,positif,positif
bagus tp minus bulan update kali njir,positif,positif
muas loadingnya jangan lama pleaseee,positif,positif
aplikasi bagus cuman sekarang akses,positif,positif
bagus banget bagus,positif,positif
lama lama jadi jam iklan nambah terus durasi minimal tambahin kunci,negatif,negatif
bagus,positif,positif
mantap seru dah pokonyabtw buat developnya jadiin premium,positif,positif
aplikasi sempurna animelovers,positif,positif
rusa sistem padahal guna aplikasi resmi play store alami divice root,negatif,negatif
keren,positif,positif
wkwk dah ad,positif,positif
gak halal resmi,positif,positif
baru buka app malah kena blokir lama jam padahal app yg error sendiri,negatif,negatif
mantap bg,positif,positif
makasih bang,positif,positif
wort it tpi iklan kalau cepat detik ngaruh bat hidup minim wkwk soo tq wibukuu love you,positif,negatif
login,negatif,negatif
seru bgt kdang ad bug gak ngaruh,positif,positif
bagus,positif,positif
slot kunci tambah mnit iklan buat kunci kaya nonton iklan tv lama bet,positif,negatif
bagus napa ga beli paket premium pake pulsa,positif,positif
apk nge bug gambar putih tengah,negatif,negatif
manatap,positif,positif
mantappp siiii bayar cuma pke iklan,positif,negatif
gg gimang klo premium makanya premium,positif,positif
sekarang wibuku lama banget iklan sampe menit biasa detik,negatif,negatif
suka eror gak buka sih,negatif,negatif
jauh apk oke makin kembang minus banyak update saran iklan jngn biar gak bosen,positif,negatif
bagus banget sih kalo nonton sini cuma kalo seru seru nonton tiba tiba keluar aplikasi kalo nonton terus balik keluar gituh buat developer baik,positif,positif
pihak wibuku error gimana ga masuk aplikasi kan device root unlock bootloader guna aplikasi mungkin jadi error server jadi segera baik,positif,negatif
good,positif,positif
mantap kurang sensorr sama bug,positif,positif
aplikasi bagus animenya kurang euy dahal banyak anime bagus gada wibuku,positif,positif
udh hampir lengkap sih daftar animenya cumn yg kurang anime lama,positif,positif
bagus aplikasi download banyak iklan,positif,positif
lambat buat anime bangsawan korup ep kecewa berat jadi,negatif,positif
gwe apk keluar sendiri yak padahal aman aman pas nonton terus keluar terus lama banget timer kunci mending menit,negatif,negatif
bagus bgt apk nyaaaa lup lup dehh,positif,positif
updet apk banya bug kalau nonton lebih jam ban menit prbaik in,negatif,negatif
aplikasi jembot kakean update,negatif,positif
bagus gratis mantapp,positif,positif
banyak iklan rek udh buka kunci tetep nonton iklan,negatif,negatif
lengkap anime bro,positif,positif
tiba device root,negatif,negatif
update malah tambah jelek,negatif,negatif
animenya kurang lengkap,negatif,positif
keren,positif,positif
loading pas awal buka lama,negatif,negatif
baguss cuman movienya kurang banyak sihh gapapa,positif,positif
bagus banget co gak kaya premium,positif,positif
knapa ga intal pokee,negatif,positif
aplikasi sangat bagus,positif,positif
bagus bgt aseli,positif,positif
ga buka coy,negatif,negatif
baik lag nonton movie grafik,positif,positif
up anime jadul bang inuyasha please,positif,positif
mantap kadang video gak support update mulu jing,positif,positif
apk tlol tiap cepat video lag relog pdhl jaring bagus ga recomend mending nonton animeplay,negatif,positif
bagussd bgtt,positif,positif
keren,positif,positif
aplikasi tolol uda premium tiba kaga masuk,negatif,negatif
mantap gak ikan,positif,positif
gk buka pas premium abis banyak alas hp diroot unlock bootloader padahal gk aktif,negatif,negatif
wibuku tempat nonton anime paling keren,positif,positif
aplikasi mantap,positif,positif
karna apk bagus banget makanya kasih bintang,negatif,positif
lumayan,positif,positif
bentar bentar update gada yg upgrade hadeh,negatif,negatif
sekarang sering banget update kakmasa bulan sampe update,positif,positif
bagus kalau anime jangan bahasa jepang semua kemarin pas mau cari anime classroom of the elite ga muncul muncul nyata pakai bahasa jepang ubah,positif,positif
aplikasi udah bagus beberapa anime eps kaya haite dasa ku ganggu bngt padahal anime seru bngt,positif,positif
ga buka sih,positif,negatif
device not root and unlock bootloader but detected issue please fix bug,negatif,negatif
sip movie aga kurang,positif,positif
mantab,positif,positif
apk udh bagus grafik hd iklan detik sih tulis cuma detik loo,positif,negatif
tiba tiba rilog akun pas loginin kaya bikin akun baru padahal akun yg dlu mana premium,negatif,negatif
mntap apk andal watashi utk nntn anime and terkadang atmin tdk th apa sensor tp kadang lupa update mulu jierr lopiu,positif,negatif
selesai update buka,negatif,negatif
sangat keren gak macam belah,positif,positif
apk busuk banyak iklan,negatif,negatif
terlalu mahal biaya,negatif,positif
buka aplikasi,positif,negatif
aplikasi sangat bantu hilang bosan,positif,positif
bagus uyyy,positif,positif
bagus cuma kadang kadang ngelag,positif,positif
kata gratis makin lama durasi ambil kunci ken kyk dulu detik iklan detik,negatif,negatif
uhu,positif,positif
anime the bess solo leveling and one piece,positif,positif
apk baik,positif,positif
asik jir update mulu,positif,negatif
good,positif,positif
tolobg sedia fitur offline,positif,positif
suka banget sama aplikasi animenya banyak suka top banget,positif,positif
aplikasi bagus minimal gak usah ngerekomendasiin jvdl,positif,positif
bagus prem murah,positif,positif
good,positif,positif
lanjut tambah film,positif,positif
bagus cuman biasa bug terus kayak gak login nonton error akun ilang gitu yg beli prem tahun padahal,negatif,negatif
bagus banget apk wajib sih yg suka anime,positif,positif
bagus ramah rekomendasi buat gapunya duit ken nonton anime sub indo,positif,positif
bagus sih aplikasi,positif,positif
gak terlalu suka lama buka aplikasi jadi cepat sekali minta cepat buka aplikasi,negatif,negatif
tambah vitur emote wibuku,positif,positif
no debat,positif,positif
eror segera baik,positif,negatif
lumayan kecewa soal ga gotoubun no hanayome movie episode spesial sama episode honey moon fuutarou,positif,positif
bagus banget tpi akhir error mohon segera baik mas admin star dulu,positif,positif
sangat bagus tahan,positif,positif
jelek nyari judul pake bhs jpg klo pake judul inggir gak muncul,negatif,negatif
bagus sih apk cuma keluh cuma iklan jadi an detik dulu cuma an mending malah buat developer kurang durasi waktu,positif,positif
sugoi,positif,positif
