komentar,label,label_prediksi
aplikasi sering macet lalu keluar sendiri kualitas video padahal udah ting noise video padahal konten bagus pihak developer baik bugnya buat useruser nyaman,negatif,negatif
iklan lama banget bagus sih kualitas,positif,positif
moga konsisten,positif,positif
awal buka udah gak iklan vidio ku tonton rata rata cuma cuplik vidio kalo ful vip jadi nonton puas buat aplikasi update apk,negatif,negatif
nice,positif,positif
aplikasi sangat bagus nonton demon slayer hashira trainer arc gratis kalo aplikasi bayar sini gratis,positif,positif
mantap,positif,positif
good,positif,positif
bagus,positif,positif
keren,positif,positif
mantaaf,positif,positif
tetep lewat bayar,negatif,negatif
aplikasi curi padahal langgan udah berhentiin saldo dana bulan sedot terus pas liat transaksi nyata bayar iqiyi minimal kalo udah henti langgan gak usah nyedot dana orang kocak,negatif,negatif
sangat bagus tarik,positif,positif
bagus bangett,negatif,positif
good movie,positif,positif
my mood,positif,positif
jos,positif,positif
biang poko namah,positif,positif
good,positif,positif
mantap,positif,positif
bagus,positif,positif
udah langgan standart tpi iklan itu kadang gk cuma sekali hadehh,negatif,negatif
apk banyak iklan sih,positif,negatif
sangat baguspuas kasih bintang lima,positif,positif
mantaps,positif,positif
jelek banget poko jelek,negatif,negatif
suka,positif,positif
hampir smua drama sini,positif,positif
minggu beli vip banyak acara anime jepang hilang padahal pas ga pake akun ngga kecewa berat,negatif,negatif
apk tai banyak iklan,negatif,negatif
vip mahal ribet beberapa tingkat ga worth it,negatif,negatif
plis hampir semua eps jadi buat vip doang jadi ga lanjutin ga buka jadi cuman beberapa film males kalo udah sangkut paut sama vip gitu yaa,positif,negatif
sukaaa bangetttt,positif,positif
seru senang,positif,positif
bayar myr pdhl google pay udh rupiah,negatif,negatif
tiba saldo spay ku potong padahal waktu panjang udah ah males uninstal,negatif,negatif
tooop,positif,positif
apk kentodd beli vip asa gak vip nnton bc gak epsd sampe malah langsung cari gada apk vangkee,negatif,negatif
aplikasi gak jelas,negatif,negatif
aplikasi paling bagus ku,positif,positif
jauh kata gratis,negatif,negatif
kalo subtitle lengkap terus apabila film yg lanjut mohon info pendowload tau,positif,negatif
aplikasi udah bagus sayang nguras banyak banget kuota,positif,negatif
mantap,positif,positif
bagus sekali,positif,positif
bagussss banget tanpaaaa bayarrrrr loveeeeeee,positif,positif
mantull,positif,positif
masuk daftar vvip,negatif,positif
bagus banget,positif,positif
aplikasiny sering keluar masukketika nonton,negatif,positif
benar udah bagus masalah bayar maksud bayar mending iklan yg banyak masuk vip soal yg ngk mampu gimana ku lebih baik banyak iklan bayar vip,positif,negatif
aplikasi sangat bagus walaupun langgan nonton film suka walaupun iklan tpi masak,positif,positif
baik,positif,positif
semua bayar,negatif,negatif
bagus,positif,positif
sangt baguss anime lengkap banget,positif,negatif
seru tarik cerita,positif,positif
nice,positif,positif
oke bagus bangetttzzz,positif,positif
bagus,positif,positif
love bailuglobal ambassador iqiyi,positif,positif
ga lengkap,negatif,negatif
tahun mas lengan yah padhl udah batal kan lagan sesal gara apk stiap isi dana selalu tarik uang dana besar jadi slalu takut bngt kalo mau simpan dana skrng kemarin ambil tagl april kemarin aplikasi iqiyi,negatif,negatif
iklan sangat menggangu,negatif,negatif
ko liat the best thing cuma sampe eps eps yg lain bayarr,negatif,positif
seru banget film nyah,positif,positif
bagus,positif,positif
buruk,negatif,negatif
sangat puas film iqiyi,positif,positif
sangat bagus,positif,positif
aplikasi terlalu milking iklan terlalu banyak kesan nonton iklan dn vip iklan admin mau relevan in true indonesia remake youre app and grow it thansk,negatif,negatif
jauh cuma aplikasi bagus,positif,positif
harus syukur kasih gratis mslh iklan is okey kalo gada iklan gimana developer dapat uang uang tambah fitur aplikasi,positif,negatif
bagus banget bagus jeekkk,positif,positif
korban,negatif,positif
gak buka vdio skrg mesti byar vip mau coba gratis nontn iklan tpi gagal terus sebal,negatif,negatif
jangan mau langgan sini langgan sekali bayar kali kali tuju langgan,negatif,negatif
amazing,positif,positif
aplikasi bagus banget,positif,positif
iqiyi aktifin metode bayar pakek pulsa mau nonton drama tu iqiyii,positif,negatif
gratisannn,positif,positif
sangat suka drama kolosal main cantik ganteng suka banget,positif,positif
sangat bagus,positif,positif
drama bagus banget,positif,positif
bagus banget,positif,positif
aplikasi seruu iklan terus gak sampe menit iklan,positif,negatif
banyak dracin,positif,positif
aplikasi bagus,positif,positif
mau bayar vip gabisa terus bejir,negatif,negatif
benar benar gratis,positif,positif
aplikasi sangatbagus nonton puas walaupun iklan banyak tp gk usah top up lg pokok top deccchhh,positif,negatif
sangat bagus,positif,positif
iklan terlalu lama iklan sampe gk sekali bikin biar iklan lebih lama,negatif,negatif
bgs masalah lag gegara pulsa hampir abis,positif,positif
aplikasi sangat muas,positif,positif
film semi,positif,positif
oke bagus,positif,positif
the best,positif,positif
teh kendala suka keluar sendiri mon maaf yah,positif,positif
nice,positif,positif
pas iklan ngagetin tiba tiba ras bet suara iklan pas film suara pelan dev gaguna kalo ga difix tetep anj,negatif,negatif
asyik nonton film lebih bagus luar biasa yg sangat baik,positif,positif
good,positif,positif
bagus,positif,positif
sangat hibur suka film silat mandarin,positif,positif
bagus,positif,positif
anjay,positif,positif
iklan talu banyak,negatif,negatif
gao xing,positif,positif
buruk,negatif,negatif
sangat bagus,positif,positif
apk kntl kaga tau anime trend,negatif,negatif
masuk padahal langanan,positif,negatif
kasih bintang dulu yah admin kalo lagu gak usah kasih terjemah soal pas aktor bicara kadang gak tau arti apa karna gabung sama soudtrak drama jadi kalo soundtrak muncul gak usah terjemahin ganggu sekali,positif,negatif
aplikasi bagus,positif,positif
sangat bagus,positif,positif
bagus,positif,positif
bagus banget,positif,positif
bagusss sekali aplikasi puas aplikasi,positif,positif
bagus banget,positif,positif
bagus,positif,positif
drama sangat bagus bagus,positif,positif
semua sini,negatif,positif
film ga lengkap nyesal instal,negatif,negatif
bug baik enak enak nonton malah keluar sendiri apk mau buka malah keluar bugnya,negatif,negatif
film yg tonton suka hilang,positif,positif
keren,positif,positif
baik,positif,positif
bagus,positif,positif
sangat suka,positif,positif
baik bug kadang besar kecil layar ga aplikasi terus semua bagus dah,positif,negatif
iklan aduh banyak,negatif,negatif
good luck good luck,positif,positif
aplikasi bagus banyak iklan mohon dikuranggin iklan soal ganggu nonton,positif,positif
kualitas gambar sangat bagus paling bagus banding aplikasi top banget pokok,positif,positif
mantap,positif,positif
henti langgan potong terima minta kembali dana,negatif,negatif
bgus,positif,positif
bagusss nonton vip episode jadi beli vip nyaa padahal cuman buat film cinta tpi turut jangan vip laaa kasi org org ga punya duit buat nonton,positif,negatif
bagus,positif,positif
banyak blokir jadi vip,negatif,positif
baik,positif,positif
bguss wahh,positif,positif
liat donghua nggk klo jawab ulas guna tdk iya,negatif,positif
baik,positif,positif
bagus apa klok free mlh lebih bagus,positif,negatif
oke,positif,positif
aplikasi bagus iklan kayak babi putar terus terus bosan mau nonton iklan iklan iklan lama mohon iklan hapus,negatif,negatif
seru update anime cepet masuk one piece cek apk apk belah upload lama kalo iqiyi sesuai jadwal mantapppp,positif,negatif
puas,positif,positif
mantep aplikasi,positif,negatif
maka kek gmn sih susah bet,positif,negatif
bagus bngt,positif,positif
banyak banget iklan menit,negatif,negatif
bagus,positif,positif
mantapp,positif,positif
apk apa sih nyari filem yg nongol yg gk suka ni apk khusus filem drakor yg cari exshsn,negatif,negatif
bagus,positif,positif
sangat suka aplikasi walaupun baru pertama coba sangat bantu yg tonton drama walaupun terlalu banyak iklan,positif,negatif
padahal udh join vip episeode one piece lengkap,negatif,negatif
download cuma karna ken nonton good day doang,positif,positif
gila uang sedot dana gilir hapus akun hubung hati hati sama apk tiap bulan sedot terus akun langgan apa,negatif,negatif
alhamdulillah udh baik trus tingkat kembang,positif,negatif
good luck,positif,positif
dramany bai sini keren,positif,positif
mantap,positif,positif
biar bintang bicara top markotop,positif,positif
bagus hibur,positif,positif
bagus sih sayang sekarang hrs bayar gak spt dulu banyak free,positif,negatif
suka,positif,positif
sabang maurouke jalan jalan paris download iqiyi buat nonton anime nyata iklan berlapislapis iklan mohon diturunin durasi iklan menit,positif,negatif
udh byr tpii knp lma loding trs sh,negatif,positif
uang uda potong vip ga aktifparahh,negatif,negatif
apk sangat bagus gak nama vip episode episode rate,positif,positif
jgn vip dongg pleaseee,positif,positif
baguss semua perfect,positif,positif
keren,positif,positif
good,positif,positif
bagusss,positif,positif
apk sangat baguss,positif,positif
suka bnyk yg vip bayar,positif,negatif
banyak iklan,negatif,negatif
solo leveling hilang gk meski udh ambil vip,negatif,negatif
baik,positif,positif
baik lengkap movie,positif,negatif
iklan rangin,positif,negatif
bguss bgt tpi kdng iklan ny lama sampe mnt lebih,positif,negatif
aplikasi sangat bagus suka banget sama aplikasi,positif,positif
sumpah bagus banget,positif,positif
bagus bet soal grafik film sesuai suka,positif,positif
bnyak drama yg bagus sy suka,positif,positif
seruuu,positif,positif
aplikasi sangat baguss,positif,positif
plis jangan banyak yg vip drama,positif,negatif
gratisin,positif,positif
pokok dhebest bagus buat wibu utama donload karna blue lock penasaran rilis film gitu duluya bye thanks,positif,positif
bagus cuman terlalu banyak iklan terlalu lama durasi iklan iklan numpuk double iklan durasi sangat lama satu episode awal iklan tengah iklan akhir iklan iklan double durasi sangat lama sangat menggangu lebih baik iklan satu kali tengah video cukup satu iklan episode jangan double durasi iklan cukup bawah detik buat iqiyi lebih suka mati buat iqiyi lebih maju,negatif,negatif
love bgt,positif,positif
enak sih nonton sini,positif,positif
bagus,positif,positif
vip iklan,positif,negatif
oke,positif,positif
sukaaaaa sedikit banyak iklan sih,positif,negatif
uda beli vip nonton iklan aplikasi apa tau gitu kgak usah beli vip buang buang duit doang,negatif,negatif
bagus lucu,positif,positif
kereenn,positif,positif
tayang bagus,positif,positif
semua bayar ga,negatif,negatif
bagusss,positif,positif
luar biasa nonton film suka,positif,positif
mantap,positif,positif
aplikasi bagus,positif,positif
bagus banget,positif,positif
banyak iklan ajg,negatif,negatif
sangat suka sama film tunggu episode lanjut tnpa vip,positif,positif
kapan vip bulan rb,positif,negatif
sangat tarik,positif,positif
baik ni iqiyi,positif,negatif
film bagus moga gk lemod,positif,positif
film ny bagus kalo yg umur thn ngeri banget pas sung bg bikin merinding gpp intiny ni film seru,positif,positif
bgus,positif,positif
maaf belum bayar aplikasi tarik otomatis kali aplikasi iqiyi tarik dana panjang masa aktif aplikasi aplikasi ubah malah mas tagih bayar baik karna aplikasi cukup bagus jangan cacat cuma salah,positif,negatif
engga lengkap,negatif,negatif
apk bagus buat tonton anime kualitas dowload pilih jangan tinggi pake kuota iklan lalau banyak lama detik sampe detik skip iklan ny kurang ganggu,positif,negatif
bagus cok mwehehehee,positif,negatif
kerennn,positif,positif
dar dulu iqiyi tani waktu istirahat film tarik enak toton trimakasih iqiyi sekdes trusss,positif,negatif
azaaaaaan plis happy ending sama songran,positif,positif
keren bagus banget,positif,positif
bagus walaupun banyak iklan,positif,positif
playerpemutara sering error app tv rekomendasi langgan jangka panjang ni layan,negatif,negatif
film bagus,positif,positif
finally liat aot final season movie akhir sini,positif,positif
jangan pernah beli vip aplikasi tolol gk beli vip banyak iklan beli vip putar error mulu tiap kali ganti episode,negatif,negatif
gokil abis,positif,positif
keren,positif,positif
banyak iklan,negatif,negatif
bagus,positif,positif
bagus,positif,positif
mudah guna genre variasi yah meski iklan jauh bagus,positif,positif
film berkwalitas,positif,positif
nice,positif,positif
bagus film yg kurang,positif,positif
bagus mas error,positif,negatif
sangat bagus bnyk drama bagus aq sangat suka,positif,positif
kualitas oke lebih bagus dr app belah pokok tingkat,positif,negatif
sangat bantu hemat data,positif,positif
parah aplikasi gk langgan uang orang rampas gk mikir apa udh kualitas jelek bet hapus aplikasi play store play store hapus nyuri uang orang terus,negatif,negatif
bagus pokok,positif,positif
baru prtama buat akun iqiyi kaget proses pmbayaran langgan susah bnget dr kmrn mau bayar pakai shopeepay gagal trus tampil layar putih doang gak klanjutan tahap brikutnya nilai jujur ku,negatif,negatif
baguss rekkk,positif,positif
udh daptar iklan,negatif,negatif
bagus buat yg free,positif,positif
aplikasi main potong saldo malah ingat bayar kembali saldo ku,positif,negatif
keren,positif,positif
bagus,positif,positif
sangat bagus,positif,positif
terima kasih iqiyi sungguh muas,positif,positif
luarbiasa tehnik,positif,positif
apa iklan ny gk muat,negatif,negatif
mantap,positif,positif
senang iqiyi,positif,positif
mantap,positif,positif
sangat senang sarana hibur banyak tonton tarik isi waktu senggang,positif,positif
numayan banyak iklan,positif,negatif
nonton gratis cuma menit trs suruh masuk vip bayar kirain gratis hapus,negatif,negatif
keren,positif,positif
good,positif,positif
hibur,positif,positif
bagus,positif,positif
baguss sihh tapi banyakk iklan,positif,negatif
bagus bgt,positif,positif
bagus,positif,positif
baik,positif,positif
bagus cerita tarik semua,positif,positif
aplikasi paling best banget pokok nomor,positif,positif
memang kalian bisnis harap tonton langgan paket viptapi gak banyak iklan guna salur biasa episode iklan ulang kali terlalu paksa kesan nyacukup batas episode biar iklan wajar,negatif,negatif
banyak tayang drama korea bagus,positif,positif
bagus puas pas masuk malah keluar pas nonton seru seru malah iklan lama ngebut gpp kasih bintang dulu,positif,negatif
baguss bangett sumpah masalah ga translet udah unsibel ga bisaaaaa,positif,negatif
mantap nonton film sini,positif,positif
banyak iklan astagaaaa,negatif,negatif
mantap,positif,positif
top,positif,positif
baru ikut gabung drakor keren,positif,positif
serial bagus suka,positif,positif
subtitle gk muncul pdhl ting udah bahasa indonesia padahal udah langgan bulan,negatif,negatif
nice,positif,positif
oke banget pokok the best,positif,positif
tonton hibur bikin hati nyaman jiwa batin jadi sejuk,positif,positif
gajelas udah hapus tetep langgan,negatif,negatif
developer kritik masalah iklan terlalu lama iklan menit jadi saran iklan cepat jadi kurang detik sekian,negatif,negatif
bagus sih bagus kasih nonton free,positif,positif
cerita sangat baik,positif,positif
aplikasi sangat bagus,positif,positif
sangat keren bagus walaupun banyak iklan,positif,positif
mantap,positif,positif
sukaaaa sekali sama akting drcherran lama sekaliiii nunggu sabtu depan,positif,negatif
manteb banged pkoknya,positif,positif
bagus nonton,positif,positif
iyah tau miskin langgan tpi ngotak dikit yakli ngasih iklan ment mana skip nyesel download bukan nonton drama malah nonton iklan banyak iklan biar apasihbiar pindah kevipyg bikin emosi langsung hps kocak,negatif,negatif
kerennnn,positif,positif
langgan vip kali saldo potong karna panjang otomatis jadi masalah saldo apk oren uda potong masa panjang vip aplikasi iqiyinya tambah nyesek wkwkwk masa uda ngepotong saldo panjang ga panjang mana saldo gabisa,negatif,negatif
bagus,positif,positif
mantap,positif,positif
baguss cuman pertama kali coba bigungg,positif,positif
bagus,positif,positif
gooodddddd,positif,positif
nice,positif,positif
udah bayar iklan tetap luar biasa,negatif,negatif
bagus,positif,positif
sangat bagus,positif,positif
the boy next world film seruu bgt apalgi pas episod behhh,positif,positif
beli vip premium langgan saldo tarik ga kembali mana mahal baik aplikasi,negatif,negatif
sangat suka semua fitur terimakasih sangat puas tonton iqiyi,positif,positif
kasih vip gratis donggg,positif,positif
oke,positif,positif
iklan drama gilir download cari kaga padahal input sesuai nama drama,negatif,negatif
kereeen,positif,positif
aplikasi yg sangat bagus nonton anime bayar top poko yg kurang jgn banyakin iklan pls ganggu banget pas tengah tengah,positif,negatif
cukup tarik walaupun banyak drama china,positif,positif
ngk seru kalau pakai wifi wifi error padahal wifi gapapa,negatif,negatif
ga cocok bikin jerawat,positif,negatif
aplikasi bagus banyak drama suka,positif,positif
seruuu polllll,positif,positif
mantap gan,positif,positif
shinbi house,negatif,positif
haah,positif,positif
the best,positif,positif
cobaguys kalau ngk update kak,positif,positif
terlalu jelek,negatif,negatif
terlalu banyak iklan gk skip,negatif,negatif
apa movie overlord sini hehe,positif,positif
seriussss bagusss bengetttt,positif,positif
bagus aplikasi tambahin naruto sipuden,positif,positif
filemnya bagus harga hemat,positif,positif
baik,positif,positif
bagus bgtt,positif,negatif
keren bnyk jelajah,positif,positif
seruu,positif,positif
pihak iqiyi gak panjang vip uang malah tarik,negatif,negatif
baik,negatif,positif
bagua banget jadi enak kalau nonton pake iqiyu,positif,positif
benar aplikasi bagus sayang idola promosi ga kenceng depan ikut kalian promosi drama semua aktor aktris tara,negatif,negatif
percuma download film yg direkom dr ig abis didownload langgan malah gak harus abis download dr rekom dinajutin apa yg mau sama langgan malah ilang nyari satu satu,negatif,negatif
luar biasa,positif,positif
beneran jual vip,negatif,positif
mantap,positif,positif
gak log in terus,negatif,negatif
banyak subtitle guna bahasa mesin terjemah ngaco,negatif,negatif
iklan kalah youtube anjirr sekali muncul iklan kebelet harta,negatif,negatif
drama iqiyi sangat tarik perhati suka banget,positif,positif
bintang,negatif,positif
bagai mna mw langgan vip,positif,negatif
muhammad ramdoni sangat bagus film,positif,positif
apk sampahgk bergunajangan yg download apk iniiklan semua bayr lgbuang apk bosgk lakubos,negatif,negatif
beri bintang lima drama love of the divine tree per cowok ganteng banget baru pertama main per utama kalo selalu karakter per utama hahaha deng wei memang cocok jadi per utama karakter sangat sesuai drama cakep bangetttt,positif,positif
good drama chengyi,positif,positif
kata gratis trnyata berbyr,negatif,negatif
like it,positif,positif
banyak drama seru free,positif,positif
good,positif,positif
sedang asyik nonton drakor favorit malah error gak muat,negatif,negatif
bagus sekali,positif,positif
sangat amanah banyak sekali pilih yg seru seru,positif,positif
lengkap drama ny,negatif,positif
sangat keren,positif,positif
udah vip tetap iklan,negatif,negatif
bagus banget aplikasi,positif,positif
mantab lanjut,positif,positif
ribet,negatif,positif
baik,positif,positif
gimana sih ni aplikasi dana udah verivikasi hasil buat vip udah bayar gilir mau liat drama ga bisayang bener jadi customer kecewa,negatif,negatif
sangat bagus,positif,positif
good,positif,positif
the best,positif,positif
bagus,positif,positif
kak ga episode one piece mau maraton udah beli vip premium,negatif,negatif
bagus bngtt buat nonton,positif,positif
suka banget,positif,positif
bagus,positif,positif
terimakasih,negatif,positif
bagus banyak iklan kalaupun mau gaada iklan vip kalo saran iklan rang,positif,negatif
premium iklan,negatif,negatif
vip bgus,positif,positif
cari drama anime ga ketemu padhal judul udah lengkap,negatif,negatif
iklan gak ngotak bnyak mana durasi iklan panjang,negatif,negatif
suka banget apk,positif,positif
perfect,positif,positif
series my golden blood bagus banget sama marktong benerseseru series,positif,positif
nice,positif,positif
situs bahasa indonesia mangkanya install apkmya malah ga yg ga cara biar bahasa indonesia,negatif,negatif
pokok baik,positif,negatif
like it,positif,positif
mantraps jd asiikk,positif,positif
drama bagus bangett tapi sayang nyaa bayarr bagus ituu karna adaa yuannya,positif,positif
bagus,positif,positif
udah sih iklan ngotak dikit anj buset dah udah banyak iklan mana rata detik kalok skip tambahin bintang dah,positif,negatif
cerita cukup bagus,positif,positif
mantul poko na mah,positif,positif
apk sangat bagus,positif,positif
baguss,positif,positif
sangat suka sekali bagus,positif,positif
gimana padahal udah gak langgan saldo dana tiap bulan potong tahu tiap bulan selalu kena ambil balikin uang padahal udah batalin,negatif,negatif
bagus,positif,positif
keren,positif,positif
aplikasi milik kualitas vidio gambar sangat berkualitasaplikasi milik animasi sangat bagus tonton karena animasi suka ku sini solo laveling lai mohon tambah animasi huan tambah,positif,positif
langgan aktif tp tetep iklan gimana sih rugiiiiiiii,negatif,negatif
good,positif,positif
dulu memang bagus,positif,negatif
bagus,positif,positif
aplikasi bagus bgt,positif,positif
seru idola ngebag,positif,positif
mantap,positif,positif
iklan lama banyak anime pake vip mohon rang iklan sama vip mau nonton anime bagus bukan anime vip plis banget donload aplikasi buat nonton anime bukan nonton film memang buat film please kurang iklan kurang vip vip iqiyi anime wind breaker solo leveling season one piece episode vip males bayar tagih vip alah mending gausah download ngak aplikasi ngak ubah tak hapus menuh menuhhi data males vip,negatif,negatif
bagusss,positif,positif
sangat bagus aplikasi depan lebih banyak promo diskon sukses buat iqiyi,positif,positif
sebenernya bagus yah banyak yg vip klo yg populer masuk vip klo yg gak populer baru gak vip bnyak iklan,negatif,negatif
iqiyi luar biasa loading lama,positif,positif
bagus,positif,positif
inti mantap dahh,positif,positif
bagus,positif,positif
bayar banyak iklan recommended,negatif,negatif
bagus sekali cerita,positif,positif
download aplikasi langgan tonton series petricor,positif,negatif
bintang karna udh vip sedikit iklan,positif,negatif
baguss rekomen banget buat nonton soal film apa seru,positif,positif
apk bagus seru nonton,positif,positif
nonton blue lock suruh bayar cuman mau eps sama doang suruh bayar,negatif,negatif
bayar vip hadeh ga tarik,negatif,negatif
bagus filmny,positif,positif
drama lengkap semua jadi nontonya enak,positif,positif
balikin duit vip gila udah panjang otomatis muncul iklan,negatif,negatif
aplikasi rakus miskin tiap nonton iklan ulang kurang iklan,negatif,negatif
wah parah iklan tiap menit iklan bayangin nonton film jam isi cuman iklan emg gak langgan kasih iklan ngontak dikit jgn peras ginii,negatif,negatif
sangat luar biasa keren,positif,positif
bagus sekali aplikasi,positif,positif
iqiyi sangat bagus sangat suka,positif,positif
aplikasi bodoh koleksi minim banget drama korea populer my love by my side ga auto uninstall preetttt,positif,negatif
rekomen,positif,positif
banyak iklan menit iklan mana iklan detik gabisa skip tolonglahmasih gak cukup duit anggota premium banget premium biar skip iklan detik kalo gitu untung banget chh dikitdikit premium udah muak tiap kali nonton suruh up premium pas ngepause animenya langsung munculpop up iklan singkat iklan tonton nikmat animenya tenang,negatif,negatif
good move,positif,positif
