username,tanggal,bintang,komentar
Achmad G.I,2025-06-21,2,"anime tdk lengkap, dan subtitle nya telat. ayolah katanya sekelas crunchyyroll ? masa kalah sama apk biru sebelah?"
Dilesman1808,2025-06-20,5,kece
ilham ramadhan hutasuhut,2025-06-20,5,"Recommended buat lu yang ngerasa bersalah abis nonton anime masterpiece tapi bajakan. Gw nonton frieren dulu bajakan terus ga enak rasanya dan iseng langganan 39.000 crunchyroll, dan ternyata worth it banget, sekarang gw juga rewatch anime fav gw yang lain, misalnya naruto, tensura, frieren, dan ada juga solo leveling Banyak anime yang populer ditayangin disini. Kalo lu ga punya uang 39.000 bisa pake 29.000"
Ajoss hermawan,2025-06-20,2,sebenarnya bagus apk ini sayangnya satu berbayar yg apk sebelah aja gak berbayar🤕
Zidan Bakar123,2025-06-20,5,sangat bagus
AICHI,2025-06-20,5,memang terbaik lah kau min min
Ucil Ku,2025-06-20,1,kok GK bisak masuk udah masukin gimana ko tetep GK bisak kenapa min malah muncul info akun terus padahal udah bener semua gimana min sampahhhhhh
Muhammad Azkiya,2025-06-20,1,"saya gak merasa ada berlangganan dgn aplikasi ini,tapi malah kena tagihan di dana dan langsung berkurang uang saya"
VLG Anak rumahan,2025-06-20,3,jangan kebanyakan premium plis
Miipee,2025-06-20,1,"terlalu banyak yang premium, kebanyakan cuman ada 3 episode yg tidak premium dan seterusnya premium. Bahkan juga ada anime yg semua episode nya premium, banyak yg memakai aplikasi ini sebagai penonton gratis tetapi kenapa kebanyakan anime di jadikan premium?"
Dendi Andika,2025-06-19,2,maksud dari percobaan gratis 7 hari apa ya ... apakah berbayar setelah 7 hari atau pas 7 awal gratis ...
Game Only (Ippoh),2025-06-19,5,mantap
Muhammad Alif,2025-06-19,1,iklan sejagad raya mana lama pula
Aris Wahyudi,2025-06-18,5,new update support device A01 Core Samsung mobile
Abakus Wilhelmus,2025-06-18,5,Aplikasi ini sangat cocok untuk orang-orang yang ingin menonton anime dengan budget yang murah tapi dapat kualitas yang bagus
Martinah Ai,2025-06-18,1,"udh capek-capek download, malah gak bisa masuk.padahal kata sandi sama email nya bener,udh coba berkali kali tetap saja tidak bisa."
Irfan Maulana,2025-06-18,3,"animenya kurang lengkap, gada genre Ecchi🗿, klo ada padahal mau bikin premium"
Eko Cahyono,2025-06-18,1,burukk
MUHAMMAD AL FARREL SATRIAJI,2025-06-18,5,The application is good
Aaala Ooh,2025-06-18,4,tolong untuk defoloper crunchyroll untuk melengkapi filem yg udah ada utuk di lengkapi sampai selesai contohnya demon sleyer cmn ada sampai hasira batu. padahan udah tamat filem nya
Aqeela,2025-06-18,1,ngga cocok
MADE HARTA,2025-06-18,1,"anjirr gq udah langganan tapi belum juga bisa nonton vidio yang premium jirr ,apk rusak"
Rodaxx King,2025-06-18,1,Jangan di download guys aplikasi langsung nyedot uang di dana kamu uang gw di sedot jir padahal gw kaga beli
khaleefa elmalique,2025-06-17,1,"woi balikin duit gw, mau bayar di online malah dh kebayar sama ni apk!!"
Otaku Ya,2025-06-17,3,"Aplikasi Nya Sangat Bagus! Namun Ada Satu Kekurangan Yaitu iklan nya kebanyakan, Aku Mohon Untuk manambahkan tombol skip, karena iklan nya gak bisa di skip"
Fikar 16,2025-06-16,1,kebanyakan video premium kecewa berat 😮‍💨
Rizki,2025-06-16,1,"lebih banyak nonton iklan wkwkk, konyol"
Aku Marisca,2025-06-16,1,aku tidak mengetahui cara premium jadi aku tidak bisa menonton anime blue lock season 2
adi prabawa,2025-06-16,3,takarir tidak sinkron
pvs Pickvck,2025-06-15,1,baru lagi download udah banyak aja iklan nya dan subtittle nya juga ngawur gak di urut kan dengan bahasa Indonesia nya
Maha Dewi,2025-06-15,3,"apk khusus wibu, gada film lain selain anime. klo anime gitu doang d loklok jg bnyak,"
Nico Alrais,2025-06-15,5,bagus dan lengkap
Revi Rachmadani12,2025-06-15,2,iklan nya kepanjangan anjir durasi nya
Nada Rafi,2025-06-15,5,iklan nya terlalu banyak tolong kalo sekalinya iklan jangan banyak banget ini iklan nya banyak banget
Rasya Ariqmuhammad,2025-06-15,1,aplikasi nya sangat jelek
Ribbi Yoona,2025-06-15,4,bagus tapi kurang lengkap
Yazid Bustomi,2025-06-15,1,ini apk kenapa dahh udah di download videonyaa bisa ke hapus sendiri aneh
Rifqy Maulana,2025-06-15,5,the best 🔥🔥🔥
Yumiko ID,2025-06-14,5,"no Indonesia subtitle, so sad"
Rizal Aulia Rahman m.s,2025-06-14,1,gimana sih padahal gw buat akun sandinya bener kok salah aneh
Muhammad ibrizi ibrizi,2025-06-14,1,"langganan makin mahal sering crash servernya bagi pengguna free iklannya banyak banget periklanya 30 detik, niatnya buat santai ini mah malah nonton iklan"
Febriani Hutagalung,2025-06-14,1,saya GK bisa masuk sama sekali setelah masuk kan akun berkali kali tetap valid padahal benar loh udh saya buat 🥺
Utama Gune,2025-06-14,1,terlalu banyak iklan. aplikasi rusak! Beresin dulu iklannya baru gw kasih bintang 5...
rahma imuup,2025-06-14,1,gabisa di daftar anyink
Tugi Man,2025-06-14,1,iklannya gak ngotak
Marbun7 AR,2025-06-14,1,gk lengkap subtitle nya
Razky Rezkya,2025-06-14,1,katanya gratis masih harus dibuat premium dulu
Moden Slot,2025-06-13,1,aplikasi kok gak bisa pakek subtitel Indonesia yg ada pakek subtitel Inggris muluh
Dedek Melep,2025-06-13,5,seru banget
Bilba Banathya Alhaq,2025-06-13,5,"Animenya banyak sebanyak iklannya, tapi cukup bisa dimaklumi. Anime yang terus update dan cukup lengkap per seasonnya. Yah overall sudah bagus, mohon tingkatkan dan perbaiki masalah-masalah serta bug dalam aplikasi, terimakasih. Edit, terima kasih sudah menjawab pertanyaan saya, lop u crunchyroll."
Rasyah Syahputra,2025-06-13,1,gk ada anime lycoris recoil njir 🗿
Jihad Di alfaruq,2025-06-13,1,aplikasi tolol ajg banyak bug nya co jangan di download
Bayu ajah Ytta,2025-06-13,1,pelis jangan download apk ini soalnya awal masuk sudah minta akun google. nah masalahnya sudah di masukin akunya malah salah sampai sampai aku ubah sandi 3x tempat salah😡😡😡
Faris Alkausar,2025-06-12,5,Jujur gua pernah pake aplikasi ini dan bagus banget gak ada yang kurang kecuali di Animenya yang kurang lengkap tolong min tambahin Anime lycoris recoil di aplikasi ini soalnya gua mau maraton tuh Anime tapi gak ada di crunchyroll padahal kata Mbah google ada tapi gua cari gak ketemu dan tambahin juga Anime dengan subtitle Indonesia dan dubbing Indonesianya juga terimakasih
Muhammad Iqbal,2025-06-12,2,sebenarnya ini bagus tapi pas mau melihat season 2 dan season 3 kenapa harus premium saya tidak punya uang kenapa harus premium harusnya nggak semua harus di premium misalnya mau nonton season 2 dan season 3 tapi harus premium nggak enak kalau orang nggak ada duit kayak gimana kalau orang yang ada duit enak tapi kalau orang yang gak ada duit kan nggak enak tolong dibalas
Info TES TKA,2025-06-12,1,ga bisa daftar email
Raja,2025-06-12,1,"terkadang kalau mencari anime selalu tidak sesuai apa yang kita cari bahkan sampai tidak ada animenya, cukup kecewa dan juga setiap cari di website dan masuk ke Crunchyroll nya lagi selalu ada masalah sinyal buruk padahal sinyal ku sangat bagus, tolong di perbaiki lagi dan juga di tempat ini sangat kikir.."
Denny Prawira M.Z,2025-06-12,1,balikin uang saya RP: 432.000
MIKO PRATAMA,2025-06-12,5,"aplikasinya bagus, animenya juga banyak tetapi tidak semua ada ""subtitle bahasa Indonesia"" contohnya ""rent-a-girlfriend"", jadi tolong banyakin anime dengan subtitle bahasa Indonesia. sekian dan terimakasih."
Rendi Permana,2025-06-12,1,"apa apaan ini hampir semua season dan episode premium semua, setidak nya fitur premium itu untuk menghilangkan iklan dan meningkatkan resolusi video dan lain lain. Bukan berarti setiap episode atau season nya yang di jadiin fitur premium"
yasminn nabilaa,2025-06-12,3,HRS PREMIUM KALO MW LNJT EPS AAAA 🥰🥰🥰🥰😘😘
Yan Rr,2025-06-11,5,mantap
Gawr Gura,2025-06-11,3,kurang banyak anime nya
Kharisma Wati,2025-06-11,1,"ak download apk ini cuma mau liat aot doang soalnya di apk lain gada, di sini ada lengkap eh malah premium, anjir bgt"
mystogan pubg,2025-06-11,1,ngerekomendasiin no 1 di google.. pas d download dan nyari anime nya nihil... udh hapus aj afk merugikan kepercayaan
Takt,2025-06-11,5,sangat bagus ini apk
M Habib,2025-06-11,2,apa lah pas mau masukin email gw sama sandi kata nya tidak valid terus pada hal sandi Ama email gw udah benar gaje njir
Umi Chamidah,2025-06-11,5,mantap bangettttt
Ridwan Pamungkas,2025-06-11,1,apalah pas login nya ga bisa bisa padahal udah bener di cek di sama samain akun google nya ttep aja gabisa
Brilliant Alfarezi,2025-06-11,3,bayar bayar bayar dikit dikit premium
James Christiawan,2025-06-10,3,gada sub indo nya ya?
Alfaro Butar butar,2025-06-10,5,Sangat bagus
Reyin Official,2025-06-10,5,good
Dimas Yuda,2025-06-10,3,sub delay
Rahmat Setya,2025-06-10,3,"baru download aplikasi ini terus langsung pake uji coba gratis, anime nya bagus² terus kualitas nya bagus jg, tapi beberapa eps anime terkadang subtitle nya telat, sekelas crunchyroll pun bisa telat subtitle hadeh"
willyana putra,2025-06-10,1,sampah
Muhammad Fadlan,2025-06-10,4,bagus
Angga Adi nata,2025-06-10,1,jelek
Brownies Cokelat,2025-06-10,1,"Gw adalah penonton gratis, tapi iklannya kelamaan. Ada 5 iklan, 1 iklan sama dengan 30 detik. Jadi 4 iklan yg durasinya 30 detik, yg satunya adalah 15 detik. Jadi total iklan semuanya adalah 135 detik, sama dengan 2 menit 15 detik. Itu kelamaan anjir, dan lagi, jaringan lemot gara² iklan yg memaksa memakai kualitas/resolusi lebih tinggi. Jadi jaringannya mutar² mulu di iklannya, padahal sudah memakai otomatis 360p. La, ini malah memaksa"
Fong War,2025-06-09,1,"aplikasi Tolol inimah, fiks banyak iklanya Jangan didownload 🙏"
Yusuf Maulana,2025-06-09,5,Good jobs
Ranyee Jhoo,2025-06-09,1,terlalu Banyak premium dengan anime gua cari kagak ada kurang baguss
Yongki Ongki,2025-06-09,3,sub indo nya woi jadul banget baru tau udah berlangganan ada yg ga bisa sub indo contoh nya onepiece sial sih gua udah langganan
Alfarizi,2025-06-09,5,bagus
Jie 1,2025-06-09,4,good
MAXX gmg,2025-06-09,1,subtitle banyak bug!
ping pong,2025-06-09,1,"Gw download karna mau liat liat anime populer, tiba tiba ga lama kemudian ada Transaksi Otomatis yang ngebuat duit gw ilang, ±32k dengan Stempel LANGGANAN, maaf yaaa ini Aplikasi rusak atau emng pemaksaan ya!?"
本当に愛しています,2025-06-09,1,"Aplikasi kikir iklan,sama suka loading ga jelas 👎👎"
Muhammad Rokib,2025-06-08,2,anime yang saya cari nggak ad
Edm Semarang,2025-06-08,1,"jadilah premium cuma untuk nonton anime, 🤣🤣 mending nonton di web gratis 🤪"
Pak Bro Marketing,2025-06-08,1,"tidak seru karena, harus membeli VIP dan tidak ada yg gratis"
Bang Yat,2025-06-08,1,Lebih Banyak Durasi iklan nya dari pada Episode nya bngsd
Aulia Rahmah,2025-06-08,3,"menurut ku ya sudah bagus sih tapi masih ada yang kurang, ganre anime nya menurut ku masih kurang sama anime ny, tadi aku cari anime fav aku ga. ada dis ini, nama anime fav ku itu ""BanG Dream"" tpi pas aku cari di pencarian ga ada, sama ganre musik nya msih kurang, minimal tambahin anime bang dream lah aku suka anime nya🙏"
Muhammad Wisnu Maulana,2025-06-08,5,good
SANG peniruuu,2025-06-08,5,lumayan bagus
Adnan,2025-06-08,1,gabisa login ini gmn padahal sandi bener email bener umur lebih dari 16
Cellinia Putri,2025-06-08,1,animenya minim berbayar. banyak iklan nggak puas banget jadinya buat nonton
nursih aisyah,2025-06-08,4,masuk nya susah bnget anjir
Elvan Sianturi,2025-06-08,4,Bguss bgttt TPI jangan banyak premium ny y min apalagi buat demon slayer S4 thx!!
Asyfa Azzahra,2025-06-08,2,subtitle ke bahasa Indonesia nya kek telat gitu
Hen Dri,2025-06-08,5,assalamualaikum wr.wb apknya sih udah bagus ada anime movie dll tapi tambahin bahasanya kayak ada bahasa Indonesia Ama kasih filtur yang bisa nonton di tv pasti seru ohya gitu saja masukan dan pendapat saya terimakasih👍👍 assalamualaikum wr.wb
Dora-ky sub.,2025-06-08,2,"Masih banyak anime tanpa takarir indonesia, mungkin segera bisa ditambahkan takarir Indonesia pada anime yg tidak ada takarir Indonesia."
Nur Aisyah Aisyah,2025-06-08,4,bagus udah sip
Imam arif,2025-06-08,3,masih ada bug subtitle hilang saat setelah nonton iklan
Creative Zaydaan,2025-06-08,1,jelek masa harus bayar
Muhammad Irham sirajussurur,2025-06-07,1,saya tidak bisa buat akun padahal sandi nya udh bener
Upin Aja,2025-06-07,1,jelek
Senang Bermain,2025-06-07,1,apk ap ini nonton harus primium jelek bangettt kebanyakan ikllan juga haahh gak ku kasih bintang karena kalau mau nonton harus primium dlu bayar anjir lah
Revan Saputra,2025-06-07,3,gk lengkap
Riszki Fadli,2025-06-07,1,"Apalah coba ini aplikasi, masa ga bisa screenshot. Aneh, padahal ada kata-kata bagus di anime yang harus di screenshot, tapi ga bisa, hasilnya malah hitam kosong. kalau alasan melindungi hak cipta doang, lu blokir yang bagian perekaman layar aja kocak. Masa iya screenshot doang, lu blokir juga?????? Kocak"
Jovan Glovani Ramadhan,2025-06-07,5,Terimakasih telah membuat aplikasi ini saya sangat merasa senang karna bisa menonton anime yang gak ada di aplikasi lain👍👍
Sanny tandoex,2025-06-07,1,baru download langsung di suruh langganan berbayar begitu di skip ternyata anime nya kebanyakan buat yg berbayar alias buat yg premium yg gratisan ga bisa nonton... skip dah
Yusri,2025-06-07,5,this app is goated
Lanang Banyu,2025-06-07,1,"ini gimana ya saya mau login kok gabisa, sandi dan email-nya udah bener tapi kok gabisa login ya, tolong dibantu"
Yparllard 29,2025-06-06,1,berbayar padahal ganti aja kasih iklan
Akun Free Fire,2025-06-06,1,aplikasi blokkk hewan ajg
Alfriyansah Amat,2025-06-06,4,"menurut saya aplikasinya bagus, tapi ada sedikit masalah animenya tidak lengkap"
Fahri Varadis,2025-06-06,1,udah gw hapus tiba2 nyedot uang gw gmn coba
Wawan santoso,2025-06-06,3,anime yg ku mau malah pada region lock :v
Arsha santos,2025-06-06,1,iklane rak ngutek... sama sama pengguna gratis masih mending B station
Danan Saesar,2025-06-05,1,"jangan instal aplikasi ini, melakukan tagihan penipuan"
Rolly jeris Maitale,2025-06-05,4,baik
Muh King habibi,2025-06-05,5,bagus
perdamaian gulo,2025-06-05,1,aplikasi ampas
Zaki Lila,2025-06-05,5,semua nya bagus . tapi masih aja di one piece belum ada subtitle bahasa indonesia
Akira Izumi,2025-06-05,1,saya perna menonton beberapa anime nah saat saya ingin menonton anime yang sama tiba-tiba jadi premium kalau begini mending saya nonton anime yang saya suka tanpa premium di apk bestation banyak event peremium gratis dan bisa spin untuk mendapatkan hadiahnya premium gratis 7 hari mantap pokoknya jadi apk ini saya hapus karena terlalu banyak premium
PHP. Hecker,2025-06-05,1,"disuruh langganan, mahal lagi"
Galan-sama,2025-06-05,3,"kurang lengkap, gaada movie one piece"
Risky Ardiansyah,2025-06-05,5,bagus audio nya tambah dong yang indo
Zahra Laila,2025-06-05,1,BANYAK IKLAN GERAMMMMMMMM
Evan Praditya,2025-06-05,1,busuk
Ambar Sawo,2025-06-04,1,"Gila ini aplikasi mau nonton di suguhkan 2 Iklan 30 detik, baru nonton 1 episode sudah 6 iklan, berulang setiap episodenya. auto hapus. enakan aplikasi sebelah 2 iklan di awal untuk 2 episode berikutnya gak ada iklanya."
Kang Noob,2025-06-04,4,perbanyakan anime nya
Mendonca Melkhior,2025-06-04,5,mantap
Muhamad Dimas,2025-06-04,1,gak bisa login
Tahudin 777,2025-06-04,1,kebanyakan iklan nih apk... 1 episode aja udh 4x iklan!!
yopi,2025-06-04,2,"kurang update anime nya sama kalau premium gagal terus padahal baru 2 bulan udah gagal aja, duit nya gak kembali pula hadeh sering sering update dah !!!"
Totoh Naufal,2025-06-04,5,mantap jaya kualitas superhero bisa ganti Avatar dan nama bahkan aku bisa jadi Gojo 2000
Nathaniaa 09,2025-06-04,1,ga lengkap
Darus Salam afg,2025-06-04,1,saat masuk apk ini disuruh masukan akunnya tapi gak bisa padahal sudah diverifikasi dan benar tapi gak bisa masuk.mohon dibenarkan lagi ini
Fadli Monoarfa,2025-06-04,4,subtitle nya sering ngebug
TAUFIQ RIANSYAH,2025-06-04,1,apa2 premium.
Abdi Perdana Putra,2025-06-04,4,rada macet padahal kualitas video udah di perkecil ke 360p tapi tetap sama aja
zekking27 zekking27,2025-06-04,1,"gimana ini cara login nya, saya sudah mencoba login tapi engga bisa, kata nya nama akun dan password tidak sama, padahal saya sudah cek berkali kali tetap aja, tolong dong dibenerin"
Kenzie Ga,2025-06-04,1,worst awards
Cungkring 032,2025-06-03,3,3 dulu soalnya pertama kali
Mamad,2025-06-03,4,gambar bagus fidio lancar cuma banyak iklan
Fathur Ridha,2025-06-03,5,"tolong diperbanyak lagi animenya biar lengkap, karena diaplikasi ini sudah bagus dan legal, saya juga akan membeli keanggotaan premiumnya jika sudah lengkap banget"
Aira Firdayanti29,2025-06-03,1,iklan nya
Muhammad Lutfhi,2025-06-03,1,WOI JANGAN BANYAK IKLAN NYA BLOK!!!
Danzryux,2025-06-03,2,"Tolong untuk Takarir Indonesian kenapa lambat? perkataan nya sudah selesai tetapi subtitle nya telat, ini sedikit mengganggu, di beberapa serial Takarir Indonesian nya telat. dan juga di beberapa simulcast itu Takarir Indonesia nya juga tidak ada jika sudah ada episode baru. mohon di perbaiki"
Suci Gunawan,2025-06-03,5,suka banget walaupun banyak iklan
Noval Asprilla,2025-06-03,1,"Anda jualan penayangan anime apa tukang iklan wkk, iklannya ga karuan, se-sampah itu ya skrng si crunchyroll aowkwk"
NETFLIX ZQio gamer,2025-06-03,5,AMAZINGG😆
Wan Wan,2025-06-03,1,apk penguras duit lebih baik jangan di download!!!!!!!!!!!!!!!!
Ardy Anto,2025-06-03,1,"apk gj,bikin akun aja salah Mulu"
Fahry Syahputra,2025-06-03,3,tambahin lebih banyak anime dengan bahasa Indonesia please
Syaaah,2025-06-03,1,"apk jelek,masa tiba tiba gw di kadi tagihan,berhenti aja dari pada merugikan org lain.apk jelek.cacat"
Caca Husna,2025-06-02,3,saya kasih 3 karena kebiasaan GK bisa pakek bahasa Indonesia/[CC] bahasa ygk bisa
Ahsanul rijal,2025-06-02,5,"mohon kepada developer, animenya jangan banyak di region lock lah, terus tolong semua anime ada subtitle indonesianya biar gk susah otak translatein subtitlenya ya😑"
Aup Ma'rupin,2025-06-02,5,bagus banget
Rival Hedytiawan,2025-06-02,5,"gw kasi bintang 5 biar muncul, secara gw pribadi apk kikir harus premium"
doni tata pd,2025-06-02,5,kurangi iklan nya kak
rangga helsaput,2025-06-02,5,baguss jika ada promo
Rendy Saputra,2025-06-02,1,saya udh beli langganan eh GK bisa lihat yg PIV aneh memang ini apk nya
Izal Fantoni,2025-06-02,1,maaf gak jadi langganan... mengecewakan
Joseph Stalin,2025-06-02,1,"Kebanyakan premium dikit"" bayar lah, dikit"" iklan lah Gak jelas mending apk wibuku, Anime lengkap no premium pulak paling premium 12k sebulan itu juga tanpa iklan + dapat kualitas video HD lagi, gak kaya apk oren ini pemalak berkedok apk anime."
Faby Abqary,2025-06-02,5,sangat bagus
PUJI,2025-06-02,1,banyak iklan
Andy,2025-06-01,5,tak bisa ber kata kata
Melisa0nv,2025-06-01,1,ga lengkap
fatih farhat,2025-06-01,3,resolusi video terkadang berubah sendiri padahal udah pilih yang 1080p tapi terkadang berubah secara otomatis jadi burik
Akun Supersus,2025-06-01,1,berlangganan gratis habis itu uang di dana ketarik langsung tanpa ada notif 😡
Wahyu Anggara Putra,2025-06-01,5,semoga menghibur
Reliks Pemuda,2025-06-01,5,aplikasi nya bagus
Opan Nuha,2025-06-01,1,katanya ga bayar ko byar premium
Laila Sari,2025-06-01,1,terlalu banyak iklan
Novendra Firmansyah,2025-06-01,5,ini baru apk keren
Dewi Asmara,2025-06-01,1,apk nya ga bagus
Skay Playlater,2025-06-01,2,bayar mahal.gk bisa di buka hrus langanan mulu.gk kya app tetangga sblah.yg gk rakus duit.lol
Boim Yulianto,2025-06-01,2,"aplikasih apa ini ????? kenapa mau ninton harus bayar dulu sih dan saya sangka aplikasih ini seperti youtub nonton gratis , tapi ternyata harus bayar dulu dan di wajib kan pengguna menjadi premium dulu tolong di perbaiki kita semua nonton udh mengeluar paketan dan wefi masak mau bayar lagi"
Ibnu Qayiem Rosli,2025-06-01,3,premium xde yg buat menjadi sebulan
beti Agustus,2025-06-01,5,bagis tapi pertama nya pusing karna email ku di tolak terus
Heri Heri,2025-06-01,1,kurang lengkap
adi windarta,2025-06-01,3,"halo, saya hanya ingin bertanya, utk anime detective conan msh ada g ya? sy cri2 kok gaada y? klo gaada, blh ditambhkn, sy tdk memaksa, trmksh"
Riski,2025-06-01,5,untung aja gak bayar dan cuman iklan yg lumayan banyak tapi itu bagi saya tetep bagus
Kacehyr Latulola,2025-06-01,4,lumayan
REKSA LUCK,2025-05-31,1,SAYA TIDAK SUKA SEKALI DENGAN APLIKASI INI PADAHAL SAYA SUDAH MASUKAN EMAIL DAN SANDI SAYA TETAPI TETAP TAK BISA MASUK SAYA PUN HERAN KENAPA TIDAK BISA AKHIRNYA SAYA HAPUS SAJA
Ardian,2025-05-31,2,kebanyakan premium gratis dikit doang kikir dev nya
Hirli Khaidar,2025-05-31,2,ko anime Naruto aja ga ada
Azmi Arudi,2025-05-31,3,"awalnya sih oke, tapi kenapa episode selanjutnya subtitle sama suaranya gak pas ya?"
Rudi Surachman,2025-05-31,1,One piece ga ada. Apus lagi. udah ada tapi bayar. Apus lagi.
Nabilla Zahira Aulia,2025-05-31,3,lumayan bagus
Ramadhoni Llg,2025-05-31,1,p kenapa di tagih terus
Abi Manyu,2025-05-31,5,kerenn banget jirrrr
Kethil_project,2025-05-31,1,baru dowload login gagal mulu jgn pada unduh ya gess
Muhammad Ilyas,2025-05-31,2,terlalu banyak iklan
skiessugphone,2025-05-31,3,apk bagus tetapi subtitle nya aneh.. nonton eps 12 subtitle ny malah eps 10
Ayuk Jepara,2025-05-31,2,saya sebagai pencipta melusuri anime lama. tolong bangen nih kasi anime lama. disini adanya anime terbaru doang gak lengkap. juga kalok dicari gada nana anime nya. tolong kasi kartun anime yang lama biar semua tahu kalok ada yang cari anime lama. ini dong ya gu bahas semoga di baca
Ahmad Yasin,2025-05-31,5,bgus
Kanaya Farenhadi,2025-05-31,1,"aplikasi ini terus saja error, pdhl saya sdh mencoba menggunakan paket data dan wifi saya, dan tdk ada yg berhasil. tolong devloper untuk segera mengambil tindakan, saya capek dg masalah error ini. penyimpanan saya baik2 saja, tp aplikasi ini yg bermasalah."
zaki ramdhan,2025-05-31,2,"anime nya dikit, lawas lawas, cuma dikit yang enak ditonton"
Ridwan Rian,2025-05-30,1,jangan di download apkny tidak bisa nonton di suruh bayar baru bisa
Kimmy Quen,2025-05-30,1,bintang 1 soalnya buka aplikasi gada gambar sama sekali.
Rifqi Faishal .F,2025-05-30,1,gak jelas
Khaliq Al Mustaqim,2025-05-30,4,"anime lengkap dan vidionya hd,tapi yg jadi masalah kalau kita belum premium ,anime yg kita cari/kita tonton tidak muncul/tidak bisa di tonton,untuk itu mohon banyak in animenya untuk yg belum premium/atau buat saja nonton harus melihat iklan dulu atau sebagainya.itu saran saya dan semoga di sesuaikan lagi, terimakasih"
Glepnir,2025-05-30,1,"iklany gk ngotak,banyak bngt,sampe 6x trs ada lg"
Risan Jajang,2025-05-30,1,ngapain di pake aplikasi buruk banget 👎👎👿
herman1989 sinala (Herman),2025-05-30,1,jangan download aplikasi ini. harus berlangganan baru bisaa nonton.
Bagus eko Andrianto,2025-05-30,1,Tolong takarirnya benerin
Faras Firzatullah,2025-05-30,5,gacor
Aji Bahalwan,2025-05-30,4,one pice dari episod 1 nya mana bang masa langsung episod 800
Syahfira Nazwa,2025-05-30,4,"masih banyak yang ditingkatkan, seperti kurangnya translate untuk bahasa Indonesia"
Euaggelion,2025-05-30,5,GG si ni aplikasi
Adrian Ramadhanu,2025-05-30,4,ini gak ada anime overlord kahh -_-
